Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy
a,1,10610626,16.18,798.92,-0.01,333.85,24,0.73
aah,3,222,5.4,816.43,0.21,186.03,21,0.62
Aaron,5,10806,9.29,736.06,-0.11,289.01,32,0.97
aback,5,387,5.96,796.27,0.11,171.61,15,0.45
abacus,6,513,6.24,964.4,0.65,489,15,0.47
abandon,7,3761,8.23,695.72,-0.31,220.41,32,0.97
abandoned,9,5160,8.55,860.77,-0.09,447.56,31,0.91
abandoning,10,1005,6.91,740.55,-0.11,288.44,33,1
abandonment,11,786,6.67,771.09,0,229.53,34,1
abase,5,30,3.4,803.27,0.03,309.52,22,0.69
abasement,9,7,1.95,1037.06,0.92,311.84,17,0.53
abash,5,1,0,748.71,0.23,194.37,21,0.68
abate,5,279,5.63,719.54,-0.09,180.88,24,0.71
abated,6,144,4.97,894.23,0.45,289.82,22,0.69
abbess,6,33,3.5,885.14,0.28,324.2,7,0.22
abbey,5,2286,7.73,726.19,-0.1,235.91,21,0.66
abbot,5,616,6.42,808.58,0.21,268.65,24,0.71
abbreviate,10,203,5.31,795.03,0.16,316.55,31,0.94
abbreviated,11,1214,7.1,698.45,-0.25,170.37,31,0.94
abbreviation,12,1908,7.55,728.91,-0.02,163.59,33,1
abbreviations,13,2480,7.82,729.13,-0.12,218.3,31,0.91
abdicate,8,118,4.77,1056,0.84,475.66,18,0.56
abdomen,7,1279,7.15,813.43,0.03,315.23,30,0.88
abdominal,9,850,6.75,715.55,-0.13,191.24,31,0.94
abduct,6,180,5.19,769.67,0.03,251.22,30,0.88
abduction,9,1995,7.6,795.88,0.01,245.03,32,0.94
Abe,3,1235,7.12,820.67,0.08,254.99,33,1
abed,4,143,4.96,887.5,0.5,319.02,10,0.29
Abel,4,1009,6.92,782.75,-0.24,328.75,20,0.65
Abel's,6,52,3.95,840.14,0.2,333.08,28,0.82
aberrant,8,166,5.11,955.38,0.55,487.31,13,0.38
aberration,10,556,6.32,946.55,0.51,332.94,20,0.63
aberrations,11,299,5.7,1005.37,0.94,412.32,19,0.58
abet,4,81,4.39,792,0.37,221.47,11,0.32
abetted,7,132,4.88,998.5,0.71,372.52,18,0.53
abeyance,8,36,3.58,914,0.22,179.38,4,0.13
abhor,5,383,5.95,786.15,0.12,184.4,20,0.57
abhorred,8,87,4.47,798.44,0.41,154.4,18,0.56
abhorrent,9,366,5.9,794.15,0.25,203.55,13,0.41
abide,5,1967,7.58,773.21,-0.18,276.41,33,0.94
abides,6,443,6.09,750.63,-0.05,221.05,27,0.82
abiding,7,1363,7.22,784.67,0.05,243.05,27,0.82
Abigail,7,693,6.54,881.12,0.19,361.4,26,0.81
abilities,9,9029,9.11,657.06,-0.49,257.54,32,0.97
ability,7,56922,10.95,619.68,-0.48,186.54,31,0.97
abject,6,505,6.22,692.67,0.07,162.77,9,0.28
ablaze,6,154,5.04,740.73,0.15,175.11,22,0.65
able,4,176528,12.08,623.3,-0.5,214.58,33,1
ably,4,256,5.55,796.14,0.14,297.96,14,0.42
abnormal,8,2204,7.7,684.91,-0.19,234.31,33,1
abnormalities,13,644,6.47,898.37,0.26,266.69,30,0.91
abnormality,11,291,5.67,781.44,0.03,273.6,34,1
abnormally,10,372,5.92,843.26,0.02,402.4,31,0.97
aboard,6,3721,8.22,628.16,-0.52,220.02,31,0.94
abode,5,486,6.19,855.83,0.27,332.04,30,0.88
abolish,7,1606,7.38,703.22,-0.26,229.56,32,0.97
abolished,9,1458,7.28,664.63,-0.36,223.12,32,0.97
abolition,9,827,6.72,834.33,0.08,342.42,30,0.91
abolitionist,12,134,4.9,982.89,0.64,310.02,28,0.9
abolitionists,13,100,4.61,1010.97,0.78,280.61,30,0.97
abominable,10,473,6.16,829.07,0.27,373.99,28,0.93
abominate,9,3,1.1,888.59,0.51,268.72,27,0.82
aboriginal,10,1459,7.29,916.73,0.63,264.9,22,0.67
aborigine,9,71,4.26,933.6,0.73,319.68,10,0.31
aborigines,10,511,6.24,977.36,0.73,238.69,22,0.69
abort,5,2778,7.93,672.48,-0.41,235.69,31,0.97
abortion,8,16764,9.73,686.45,-0.32,245.73,33,0.97
abortionist,11,206,5.33,833.82,0.12,243.54,34,0.97
abortions,9,3768,8.23,774.63,-0.2,212.35,30,0.97
abortive,8,213,5.36,881.08,0.14,454.68,26,0.79
abound,6,1065,6.97,768.9,-0.07,324.78,30,0.91
abounded,8,78,4.36,832.31,0.17,433.81,29,0.88
abounding,9,100,4.61,884.52,0.28,417.12,31,0.91
abounds,7,314,5.75,678.9,-0.28,212.35,31,0.89
about,5,1307019,14.08,628.19,-0.56,167.99,31,0.94
above,5,177919,12.09,564.33,-0.85,162.03,33,0.94
aboveground,11,19,2.94,830.65,0.19,187.02,31,0.94
abracadabra,11,73,4.29,889.25,0.74,285.97,20,0.65
Abraham,7,3824,8.25,782.84,-0.14,269.09,32,1
abrasion,8,250,5.52,807.35,0.08,242.71,26,0.79
abrasive,8,576,6.36,710.59,-0.25,187.55,32,0.94
abreast,7,491,6.2,846.48,0.41,331.99,31,0.94
abridged,8,797,6.68,927.29,0.24,441.94,31,0.91
abridgment,10,42,3.74,1152.61,0.87,484.35,18,0.6
abroad,6,5984,8.7,654.69,-0.51,184.99,32,0.97
abrogate,8,100,4.61,798.58,0.72,104.22,12,0.38
abrogated,9,128,4.85,818.53,0.32,197.03,15,0.47
abrupt,6,719,6.58,690.97,-0.19,165.98,34,1
abruptly,8,1230,7.11,701.21,-0.12,172.03,33,0.97
abruptness,10,23,3.14,817.68,0.33,234.22,28,0.82
abscess,7,96,4.56,1033.5,1.02,445.44,18,0.58
abscesses,9,109,4.69,1061.21,1.06,348.18,19,0.68
abscissa,8,18,2.89,953.15,0.77,338.62,13,0.41
abscond,7,17,2.83,774.11,0.54,119,9,0.26
absence,7,7304,8.9,687,-0.4,404.05,32,0.97
absences,8,143,4.96,812.12,-0.09,440.99,34,0.97
absent,6,3019,8.01,665.32,-0.41,260.97,34,1
absented,8,4,1.39,794.58,-0.07,325.3,26,0.84
absentee,8,152,5.02,886.79,0.32,375.03,28,0.85
absenteeism,11,78,4.36,963.42,0.81,324.59,19,0.59
absently,8,190,5.25,648.1,-0.4,245.67,30,0.94
absentmindedly,14,49,3.89,1038.53,1.1,305.67,19,0.66
absinth,7,8,2.08,744.5,0.83,91.22,2,0.07
absolute,8,16840,9.73,707.03,-0.34,202.54,34,1
absolutely,10,36965,10.52,667,-0.45,212.49,35,1
absoluteness,12,23,3.14,888.84,0.17,379.42,31,0.97
absolutes,9,587,6.38,826.7,0.02,321.53,33,0.94
absolution,10,140,4.94,842.88,0.29,251.67,24,0.8
absolutism,10,197,5.28,934.96,0.48,361.28,27,0.82
absolve,7,223,5.41,730.12,-0.19,184.71,25,0.76
absorb,6,2787,7.93,633.78,-0.54,201.42,32,0.97
absorbed,8,2954,7.99,735.41,-0.24,311.38,32,0.97
absorbency,10,82,4.41,955.82,0.53,409.63,28,0.85
absorbent,9,193,5.26,793.73,0.12,252.35,30,0.91
absorber,8,143,4.96,794.7,0.16,240.48,30,0.86
absorbing,9,933,6.84,747.06,-0.08,264.97,32,0.97
absorbs,7,619,6.43,675,-0.47,186.33,34,1
absorption,10,1735,7.46,825.69,0.25,273.87,29,0.88
absorptions,11,11,2.4,841.13,0.31,248.26,32,1
absorptive,10,32,3.47,873.88,0.54,347.87,17,0.57
abstain,7,960,6.87,729.5,-0.06,212.02,28,0.88
abstaining,10,190,5.25,861.88,0.26,236.4,32,0.97
abstention,10,72,4.28,985.39,0.74,366.01,18,0.69
abstinence,10,983,6.89,884.38,0.17,278.31,29,0.91
abstinent,9,73,4.29,968.9,0.73,325.55,21,0.7
abstract,8,8606,9.06,667.91,-0.4,215.28,33,0.97
abstracted,10,261,5.56,790.52,-0.02,233.85,33,1
abstractedness,14,2,0.69,1073.32,0.96,358.42,28,0.97
abstracting,11,113,4.73,875.26,0.11,385.21,31,0.97
abstraction,11,1596,7.38,820.06,0.03,317.43,32,1
abstractionism,14,1,0,1100,0.93,528.15,30,0.94
abstractionists,15,3,1.1,1187.81,1.37,384.27,27,0.93
abstractions,12,512,6.24,864.34,0.09,263.64,29,0.94
abstractive,11,7,1.95,972.32,0.71,320.46,28,0.85
abstractly,10,143,4.96,806.33,-0.03,280.45,33,0.97
abstractors,11,0,0,942.86,0.47,389.84,28,0.88
abstracts,9,4089,8.32,766.5,-0.19,388.85,32,1
abstruse,8,157,5.06,1042.6,0.89,377.88,15,0.45
absurd,6,4985,8.51,736.57,-0.22,225.95,30,0.94
absurdities,11,300,5.7,928.44,0.54,398.28,25,0.78
absurdity,9,1084,6.99,860.47,0.22,320.24,32,0.94
absurdly,8,316,5.76,808.72,0.08,303.65,29,0.88
abundance,9,1825,7.51,698.73,-0.27,209.47,33,0.97
abundant,8,1381,7.23,660.75,-0.34,187.74,32,0.97
abuse,5,25915,10.16,608.69,-0.7,201.09,32,0.97
abused,6,6038,8.71,620.94,-0.5,163.75,31,0.97
abuses,6,3312,8.11,632.58,-0.46,155.19,33,0.97
abusive,7,3526,8.17,799.24,-0.11,363.78,33,0.97
abut,4,259,5.56,1072.33,0.81,171.91,3,0.09
